# Time (s), Z (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s)
14.485071,3083.525218,-0.218321,-1.508873
14.524240,3087.927594,-0.211614,-1.515391
14.563409,3092.311939,-0.204935,-1.521883
14.602578,3096.678279,-0.198283,-1.528348
14.641746,3101.026639,-0.191658,-1.534787
14.680915,3105.357045,-0.185061,-1.541198
14.720084,3109.669518,-0.178490,-1.547584
14.759252,3113.964085,-0.171948,-1.553942
14.804351,3118.886660,-0.164448,-1.561231
14.849449,3123.785570,-0.156985,-1.568485
14.894548,3128.660848,-0.149557,-1.575703
14.939646,3133.512532,-0.142165,-1.582887
14.984744,3138.340655,-0.134810,-1.590036
15.029843,3143.145253,-0.127490,-1.597149
15.087986,3149.304978,-0.118106,-1.606270
15.146130,3155.425736,-0.108781,-1.615333
15.204273,3161.507601,-0.099515,-1.624338
15.306355,3172.091585,-0.083390,-1.640009
15.408436,3182.556325,-0.067447,-1.655503
15.510517,3192.902199,-0.051685,-1.670822
15.640622,3205.916450,-0.031858,-1.690092
15.770727,3218.738947,-0.012322,-1.709077
15.900832,3231.370528,0.006922,-1.727780
16.030937,3243.811949,0.025876,-1.746202
16.153986,3255.404408,0.043538,-1.763366
16.277035,3266.828085,0.060942,-1.780280
16.400084,3278.083530,0.078089,-1.796946
16.523133,3289.171308,0.094982,-1.813363
16.646182,3300.091988,0.111619,-1.829533
16.769231,3310.846128,0.128003,-1.845456
16.918578,3323.675793,0.147550,-1.864452
17.067925,3336.261912,0.166725,-1.883088
17.217273,3348.605415,0.185530,-1.901364
17.340369,3358.597469,0.200753,-1.916159
17.463465,3368.425815,0.215727,-1.930711
17.586561,3378.090954,0.230451,-1.945022
17.759726,3391.411826,0.250746,-1.964745
17.932892,3404.411903,0.270552,-1.983994
18.106057,3417.092582,0.289871,-2.002770
18.279222,3429.455111,0.308705,-2.021074
18.473396,3442.940571,0.329250,-2.041041
18.667570,3456.029141,0.349191,-2.060421
18.861744,3468.722426,0.368529,-2.079215
19.055918,3481.021978,0.387267,-2.097427
19.291556,3495.421288,0.409205,-2.118747
19.527193,3509.245588,0.430266,-2.139216
19.762831,3522.497409,0.450456,-2.158837
19.998469,3535.179193,0.469776,-2.177614
20.234106,3547.293302,0.488232,-2.195551
20.469744,3558.842019,0.505827,-2.212651
20.705381,3569.827564,0.522563,-2.228917
20.941019,3580.252098,0.538445,-2.244352
21.176657,3590.117727,0.553476,-2.258959
21.412294,3599.426507,0.567658,-2.272742
21.607577,3606.720552,0.578770,-2.283542
21.802860,3613.634645,0.589304,-2.293779
21.998142,3620.169888,0.599260,-2.303456
22.193425,3626.327369,0.608641,-2.312573
22.423818,3633.107632,0.618971,-2.322612
22.654211,3639.365328,0.629191,-2.334225
22.684823,3640.157548,0.630910,-2.337151
22.715435,3640.940577,0.632609,-2.340043
22.746047,3641.714420,0.634288,-2.342901
22.776660,3642.479082,0.635948,-2.345725
22.837884,3643.980877,0.639207,-2.351272
22.899108,3645.445996,0.642386,-2.356683
22.960333,3646.874469,0.645486,-2.361959
23.021557,3648.266325,0.648507,-2.367100
23.115723,3650.335647,0.652997,-2.374743
23.209888,3652.318506,0.657301,-2.382066
23.304054,3654.214990,0.661416,-2.389071
23.398219,3656.025185,0.665344,-2.395756
23.492385,3657.749177,0.669086,-2.402124
23.606298,3659.719635,0.673362,-2.409401
23.720212,3661.564226,0.677365,-2.416214
23.834126,3663.283093,0.681095,-2.422563
23.948040,3664.876370,0.684553,-2.428447
24.061954,3666.344170,0.687738,-2.433868
24.204607,3668.005466,0.691343,-2.440004
24.347261,3669.470248,0.694522,-2.445414
24.489914,3670.738568,0.697274,-2.450099
24.632568,3671.810411,0.699600,-2.454057
24.775221,3672.685695,0.701500,-2.457290
24.917875,3673.364270,0.702972,-2.459796
25.076802,3673.888342,0.704110,-2.461732
25.235729,3674.167600,0.704716,-2.462763
